name,description,설명,url,type,usage_count,sheet_name,search_query,similarity_score,usage_count_numeric,similarity_normalized,usage_normalized,composite_score
Cognee,Enhance LLM capabilities with knowledge graph creation and search.,지식 그래프 생성 및 검색을 통해 LLM 역량을 강화하세요.,https://smithery.ai/server/@topoteretes/cognee,Local,,ai_integration_solutions,integrate applications with real-world data and diverse tools using Model Context Protocols for enhanced AI functionality,0.25150122147870835,0,1.0,1.0,1.0
CoinGecko Server,"Access cryptocurrency data including prices, market cap, and historical data from the CoinGecko API.","CoinGecko API를 통해 가격, 시가총액, 과거 데이터 등의 암호화폐 데이터에 접근하세요.",https://smithery.ai/server/@crazyrabbitLTC/coingecko,Local,,financial_data_analysis,"Explore servers that provide advanced tools for tracking and analyzing cryptocurrency transactions, liquidity pools, and financial market data, including integrations with DeFi platforms and real-time financial metrics.",0.17880138781615976,0,0.4183514158638281,1.0,0.5928459911046797
Memory Server with Qdrant Persistence,Enable knowledge graph capabilities with semantic search functionality.,의미 검색 기능을 통해 지식 그래프 기능을 활성화합니다.,https://smithery.ai/server/@delorenj/mcp-qdrant-memory,Remote,,featured_category,,0.1582667046544779,0,0.25405985170265605,1.0,0.47784189619185924
Memory Server with Qdrant Persistence,Enable knowledge graph capabilities with semantic search functionality.,의미 검색 기능을 통해 지식 그래프 기능을 활성화합니다.,https://smithery.ai/server/@delorenj/mcp-qdrant-memory,Remote,,memory_management,memory systems and memory extensions for agents,0.1582667046544779,0,0.25405985170265605,1.0,0.47784189619185924
AIzhitu,Enhance your applications with intelligent data processing capabilities.,지능형 데이터 처리 기능으로 애플리케이션을 강화하세요.,https://smithery.ai/server/@wufeizhizun/aizhitu,Local,,application_integration_tools,"Integrate applications with real-world data and external APIs for enhanced workflows and dynamic interactions. Explore servers enabling seamless integration with tools like Anki, Warpcast, and Beamlit for diverse operations.",0.15650640012331135,0,0.23997620684929838,1.0,0.46798334479450887
AIzhitu,Enhance your applications with intelligent data processing capabilities.,지능형 데이터 처리 기능으로 애플리케이션을 강화하세요.,https://smithery.ai/server/@wufeizhizun/aizhitu,Local,,ai_integration_solutions,integrate applications with real-world data and diverse tools using Model Context Protocols for enhanced AI functionality,0.15650640012331135,0,0.23997620684929838,1.0,0.46798334479450887
Neo4j Knowledge Graph Memory Server,Store and retrieve information from AI interactions using a powerful Neo4j backend. Enhance your AI assistant's capabilities with advanced graph querying and memory management. Experience improved performance and scalability for complex knowledge graph applications.,강력한 Neo4j 백엔드를 사용하여 AI 상호작용에서 정보를 저장하고 검색합니다. 고급 그래프 쿼리 및 메모리 관리로 AI 어시스턴트의 기능을 향상합니다. 복잡한 지식 그래프 애플리케이션에 대한 향상된 성능과 확장성을 경험하세요.,https://smithery.ai/server/@JovanHsu/mcp-neo4j-memory-server,Local,,memory_management,memory systems and memory extensions for agents,0.1487313103196753,0,0.17777015013659636,1.0,0.42443910509561744
Atom of Thoughts,"Enhance your applications with intelligent thought processing capabilities. Leverage advanced language models to generate, analyze, and manipulate ideas seamlessly. Transform your workflows with powerful context-aware interactions.","지능형 사고 처리 기능으로 애플리케이션을 강화하세요. 고급 언어 모델을 활용하여 아이디어를 원활하게 생성, 분석 및 조작하세요. 강력한 컨텍스트 인식 상호 작용으로 워크플로를 변환하세요.",https://smithery.ai/server/@kbsooo/mcp_atom_of_thoughts,Local,,featured_category,,0.14474431645336144,0,0.1458714617838099,1.0,0.4021100232486669
Math Server,"Provide tools for performing linear algebra, probability, and statistics calculations. Enhance your data analysis capabilities with robust mathematical functions and operations. Simplify complex mathematical tasks and improve your workflow efficiency.","선형 대수, 확률 및 통계 계산을 수행하기 위한 도구를 제공합니다. 강력한 수학 함수와 연산으로 데이터 분석 기능을 강화합니다. 복잡한 수학 작업을 단순화하고 워크플로 효율성을 개선합니다.",https://smithery.ai/server/@brighteen/math,Local,,application_integration_tools,"Integrate applications with real-world data and external APIs for enhanced workflows and dynamic interactions. Explore servers enabling seamless integration with tools like Anki, Warpcast, and Beamlit for diverse operations.",0.13294285283380025,0,0.051451650083629036,1.0,0.3360161550585403
Neo4j Graph Memory,Facilitate knowledge graph memory stored directly in Neo4j.,Neo4j에 직접 저장된 지식 그래프 메모리를 활용합니다.,https://smithery.ai/server/@neo4j-contrib/mcp-neo4j-memory,Local,,memory_management,memory systems and memory extensions for agents,0.12651194849609146,0,0.0,1.0,0.3
